SKU,Nombre,Precio,Descripción,Bajada (Resumen),Categorías (Separado por Comas),Etiquetas,Fecha de Publicación,Estado (Publicado/No Publicado),Foto Producto
CAJA-REGALO-3-SAL-CONDI,Caja de Regalo con 3 botellas de sales y condimentos Sales Tia Jo,"$5,900.00","Sin duda uno de los más grandes 
placeres de la vida es la comida, con una buena comida puedes hacer de 
una cena un momento inolvidable, por eso Tía Jo trae en esta ocasión 
esta hermosa caja de regalo con 3 botellas de 60gr de Ají Picante Molido, Himalaya y Sal y Albahaca.
No existen mejores aderezos que 
los traídos por la Tía Jo, lo que lo hace un perfecto regalo con sentido
 para disfrutar con la pareja en esos momentos románticos.
Conoce a la emprendedora detrás de este producto!
https://www.youtube.com/watch?v=4QVndrgTfkE&feature=emb_title","Sin duda uno de los más grandes placeres de la vida es la comida, con 
una buena comida puedes hacer de una cena un momento inolvidable, por 
eso Tía Jo trae en esta ocasión esta hermosa caja de regalo con...
                        
                ",CAJAREGALOPACK,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/caja-de-regalo-con-3-botellas-de-sales-y-condimentos-sales-tia-jo-542344_360x.webp
CAJA-REGALO-4-SAL-CONDI,Caja regalo 4 frascos sales y condimentos Sales Tia Jo,"$5,900.00",Para más información mandar DM,Manso Regalo,CAJAREGALOPACK,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/caja-regalo-4-frascos-sales-y-condimentos-sales-tia-jo-208812_360x.webp
CAJA-REGALO-4-SAL-ALINOS,Caja Regalo Sal/Aliños Sales Tia Jo,"$7,000.00",Para más información mandar DM,Manso Regalo,CAJAREGALOPACK,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/caja-regalo-salalinos-sales-tia-jo-646192_360x.webp
COMINO-ALEMAN,Comino Aleman Especias Tia Jo,"$6,500.00",Para más información mandar DM,Manso Regalo,ESPECIAS,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/comino-aleman-especias-tia-jo-872028_360x.webp
ENELDO,Eneldo Semilla Especias Tia Jo,"$6,500.00",Para más información mandar DM,Manso Regalo,ESPECIAS,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/eneldo-semilla-especias-tia-jo-568860_360x.webp
MIX-4-PIMIENTAS-ESPECIAS,Mix 4 pimientas en bolsa Especias Tia Jo,"$5,000.00",Para más información mandar DM,Manso Regalo,ESPECIAS,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/mix-4-pimientas-en-bolsa-especias-tia-jo-906573_360x.webp
MIX-4-PIMIENTAS-NORMAL,Mix de 4 pimientas Sales Tia Jo,"$6,500.00",Para más información mandar DM,Manso Regalo,ESPECIAS,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/mix-de-4-pimientas-sales-tia-jo-407619_360x.webp
MOLINILLO-VACIO,Molinillo vacío para 150 gr Sales Tia Jo Molinillo vacío para 150 gr Sales Tia Jo,"$3,000.00",Para más información mandar DM,Manso Regalo,"RECARGAS, SALDEMAR, SALDEHIMALAYA, PIMIENTAS, ESPECIAS","caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/molinillo-vacio-para-150-gr-sales-tia-jo-464546_1800x1800.webp
PACK-ALBAHACA-PIMIENTA,Pack de Sal de Albahaca + Mix de Pimienta Sales Tia Jo,"$9,990.00",Para más información mandar DM,Manso Regalo,CAJAREGALOPACK,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/pack-de-sal-de-albahaca-mix-de-pimienta-sales-tia-jo-844210_360x.webp
PACK-ESPECIAS-CAJUN-HIERBAS-PROVENZAL-ESPECIAS,Pack Especias Cajun y Hierbas Provenzal Especias Tia Jo,"$5,000.00",Para más información mandar DM,Manso Regalo,CAJAREGALOPACK,"caja, cajas, regalo, regalos, condimentos, sal, sales, tia, jo, tiajo",8/2/2020,Publicado,Productos/pack-especias-cajun-y-hierbas-provenzal-especias-tia-jo-248761_1800x1800
